date,ma200,ma150,ma50
20240625,-1,-1,-1
20240626,-1,-1,-1
20240627,-1,-1,-1
20240628,-1,-1,-1
20240701,-1,-1,-1
20240702,-1,-1,-1
20240703,-1,-1,-1
20240705,-1,-1,-1
20240708,-1,-1,-1
20240709,-1,-1,-1
20240710,-1,-1,-1
20240711,-1,-1,-1
20240712,-1,-1,-1
20240715,-1,-1,-1
20240716,-1,-1,-1
20240717,-1,-1,-1
20240718,-1,-1,-1
20240719,-1,-1,-1
20240722,-1,-1,-1
20240723,-1,-1,-1
20240724,-1,-1,-1
20240725,-1,-1,-1
20240726,-1,-1,-1
20240729,-1,-1,-1
20240730,-1,-1,-1
20240731,-1,-1,-1
20240801,-1,-1,-1
20240802,-1,-1,-1
20240805,-1,-1,-1
20240806,-1,-1,-1
20240807,-1,-1,-1
20240808,-1,-1,-1
20240809,-1,-1,-1
20240812,-1,-1,-1
20240813,-1,-1,-1
20240814,-1,-1,-1
20240815,-1,-1,-1
20240816,-1,-1,-1
20240819,-1,-1,-1
20240820,-1,-1,-1
20240821,-1,-1,-1
20240822,-1,-1,-1
20240823,-1,-1,-1
20240826,-1,-1,-1
20240827,-1,-1,-1
20240828,-1,-1,-1
20240829,-1,-1,-1
20240830,-1,-1,-1
20240903,-1,-1,-1
20240904,-1,-1,115.9632
20240905,-1,-1,115.9456
20240906,-1,-1,115.9084
20240909,-1,-1,115.9162
20240910,-1,-1,115.83
20240911,-1,-1,115.7214
20240912,-1,-1,115.6624
20240913,-1,-1,115.5932
20240916,-1,-1,115.5838
20240917,-1,-1,115.6274
20240918,-1,-1,115.7064
20240919,-1,-1,115.7856
20240920,-1,-1,115.8266
20240923,-1,-1,115.911
20240924,-1,-1,115.9508
20240925,-1,-1,115.9298
20240926,-1,-1,115.829
20240927,-1,-1,115.7692
20240930,-1,-1,115.789
20241001,-1,-1,115.8942
20241002,-1,-1,116.0596
20241003,-1,-1,116.2152
20241004,-1,-1,116.3618
20241007,-1,-1,116.5258
20241008,-1,-1,116.6432
20241009,-1,-1,116.7206
20241010,-1,-1,116.8208
20241011,-1,-1,116.9556
20241014,-1,-1,117.0586
20241015,-1,-1,117.1588
20241016,-1,-1,117.2962
20241017,-1,-1,117.3946
20241018,-1,-1,117.4358
20241021,-1,-1,117.4544
20241022,-1,-1,117.4934
20241023,-1,-1,117.544
20241024,-1,-1,117.554
20241025,-1,-1,117.5888
20241028,-1,-1,117.6008
20241029,-1,-1,117.576
20241030,-1,-1,117.6214
20241031,-1,-1,117.6736
20241101,-1,-1,117.677
20241104,-1,-1,117.7222
20241105,-1,-1,117.7406
20241106,-1,-1,117.8074
20241107,-1,-1,117.9092
20241108,-1,-1,117.972
20241111,-1,-1,118.0216
20241112,-1,-1,118.1224
20241113,-1,-1,118.2704
20241114,-1,-1,118.4166
20241115,-1,-1,118.5542
20241118,-1,-1,118.6534
20241119,-1,-1,118.8112
20241120,-1,-1,119.0238
20241121,-1,-1,119.239
20241122,-1,-1,119.45
20241125,-1,-1,119.5924
20241126,-1,-1,119.6668
20241127,-1,-1,119.7246
20241129,-1,-1,119.7658
20241202,-1,-1,119.8188
20241203,-1,-1,119.825
20241204,-1,-1,119.7668
20241205,-1,-1,119.772
20241206,-1,-1,119.7866
20241209,-1,-1,119.7288
20241210,-1,-1,119.6484
20241211,-1,-1,119.4772
20241212,-1,-1,119.286
20241213,-1,-1,119.0468
20241216,-1,-1,118.7194
20241217,-1,-1,118.3716
20241218,-1,-1,118.0622
20241219,-1,-1,117.7272
20241220,-1,-1,117.3844
20241223,-1,-1,117.0378
20241224,-1,-1,116.7238
20241226,-1,-1,116.4404
20241227,-1,-1,116.1528
20241230,-1,-1,115.8614
20241231,-1,-1,115.6134
20250102,-1,-1,115.3554
20250103,-1,-1,115.0972
20250106,-1,-1,114.8414
20250107,-1,-1,114.6236
20250108,-1,-1,114.3552
20250110,-1,-1,114.1064
20250113,-1,-1,113.9468
20250114,-1,-1,113.8018
20250115,-1,-1,113.7018
20250116,-1,-1,113.6258
20250117,-1,-1,113.5012
20250121,-1,-1,113.3362
20250122,-1,-1,113.1056
20250123,-1,-1,112.8778
20250124,-1,-1,112.6238
20250127,-1,-1,112.4188
20250128,-1,-1,112.1706
20250129,-1,115.3811,111.9096
