datetime,open,close,high,low,volume
202606230800,138.0,138.09,138.09,137.58,3.0
202606230801,138.2,138.34,138.34,138.2,2.0
202606230802,138.34,138.34,138.34,138.34,0.0
202606230803,138.34,138.34,138.34,138.34,0.0
202606230804,138.34,138.34,138.34,138.34,0.0
202606230805,138.34,138.34,138.34,138.34,0.0
202606230806,138.34,138.34,138.34,138.34,0.0
202606230807,138.33,138.33,138.33,138.33,1.0
202606230808,138.33,138.14,138.33,138.14,4.0
202606230809,138.3,138.14,138.3,138.12,24.0
202606230810,138.19,138.19,138.19,138.19,6.0
202606230811,138.0,137.37,138.19,137.37,18.0
202606230812,137.38,137.9,137.91,137.38,7.0
202606230813,137.9,137.9,137.9,137.9,0.0
202606230814,137.9,137.9,137.9,137.9,0.0
202606230815,137.9,137.9,137.9,137.9,0.0
202606230816,138.05,138.05,138.05,138.05,4.0
202606230817,138.05,138.05,138.05,138.05,0.0
202606230818,138.05,138.05,138.05,138.05,0.0
202606230819,138.05,138.05,138.05,138.05,0.0
202606230820,138.05,138.05,138.05,138.05,0.0
202606230821,138.05,138.05,138.05,138.05,0.0
202606230822,138.05,138.05,138.05,138.05,0.0
202606230823,138.05,138.05,138.05,138.05,0.0
202606230824,138.05,138.05,138.05,138.05,0.0
202606230825,138.29,138.3,138.3,138.29,5.0
202606230826,138.3,138.3,138.3,138.3,0.0
202606230827,138.3,138.3,138.3,138.3,0.0
202606230828,138.3,138.12,138.3,138.12,2.0
202606230829,138.12,138.12,138.12,138.12,0.0
202606230830,138.12,138.12,138.12,138.12,0.0
202606230831,138.05,138.05,138.05,138.04,2.0
202606230832,138.05,138.05,138.05,138.05,0.0
202606230833,138.05,138.05,138.05,138.05,0.0
202606230834,138.05,138.05,138.05,138.05,0.0
202606230835,138.05,138.05,138.05,138.05,0.0
202606230836,138.05,138.05,138.05,138.05,0.0
202606230837,138.05,138.05,138.05,138.05,0.0
202606230838,138.05,138.05,138.05,138.05,0.0
202606230839,138.05,138.05,138.05,138.05,0.0
202606230840,138.05,138.05,138.05,138.05,0.0
202606230841,138.05,138.05,138.05,138.05,0.0
202606230842,138.05,138.05,138.05,138.05,0.0
202606230843,138.05,138.05,138.05,138.05,0.0
202606230844,138.05,138.05,138.05,138.05,0.0
202606230845,138.05,138.05,138.05,138.05,0.0
202606230846,138.05,138.05,138.05,138.05,0.0
202606230847,138.05,138.05,138.05,138.05,0.0
202606230848,138.05,138.05,138.05,138.05,0.0
202606230849,138.05,138.05,138.05,138.05,0.0
202606230850,138.05,138.05,138.05,138.05,0.0
202606230851,138.05,138.05,138.05,138.05,0.0
202606230852,138.58,138.58,138.58,138.58,1.0
202606230853,138.55,138.54,138.55,138.54,3.0
202606230854,138.54,138.54,138.54,138.54,2.0
202606230855,138.54,138.54,138.54,138.54,0.0
202606230856,138.54,138.54,138.54,138.54,0.0
202606230857,138.54,138.54,138.54,138.54,0.0
202606230858,138.54,138.54,138.54,138.54,0.0
202606230859,138.54,138.54,138.54,138.54,0.0
202606230900,138.54,138.54,138.54,138.54,0.0
202606230901,138.54,138.54,138.54,138.54,0.0
202606230902,138.3,138.3,138.3,138.3,5.0
202606230903,138.3,138.3,138.3,138.3,0.0
202606230904,138.3,138.3,138.3,138.3,0.0
202606230905,138.3,138.3,138.3,138.3,0.0
202606230906,138.3,138.3,138.3,138.3,0.0
202606230907,138.3,138.3,138.3,138.3,0.0
202606230908,138.3,138.3,138.3,138.3,0.0
202606230909,138.3,138.3,138.3,138.3,0.0
202606230910,138.3,138.3,138.3,138.3,0.0
202606230911,138.3,138.3,138.3,138.3,0.0
202606230912,138.3,138.3,138.3,138.3,0.0
202606230913,138.3,138.3,138.3,138.3,0.0
202606230914,138.3,138.3,138.3,138.3,0.0
202606230915,138.3,138.3,138.3,138.3,0.0
202606230916,138.3,138.3,138.3,138.3,0.0
202606230917,138.3,138.3,138.3,138.3,0.0
202606230918,138.3,138.3,138.3,138.3,0.0
202606230919,138.3,138.3,138.3,138.3,0.0
202606230920,138.3,138.3,138.3,138.3,0.0
202606230921,138.3,138.3,138.3,138.3,0.0
202606230922,138.47,138.47,138.47,138.47,1.0
202606230923,138.47,138.47,138.47,138.47,0.0
202606230924,138.57,138.58,138.58,138.57,2.0
202606230925,138.58,138.58,138.58,138.58,0.0
202606230926,138.58,138.58,138.58,138.58,0.0
202606230927,138.58,138.58,138.58,138.58,0.0
202606230928,138.58,138.58,138.58,138.58,0.0
202606230929,138.58,138.58,138.58,138.58,0.0
202606230930,138.58,138.58,138.58,138.58,0.0
202606230931,138.58,138.58,138.58,138.58,0.0
202606230932,138.58,138.58,138.58,138.58,0.0
202606230933,138.58,138.58,138.58,138.58,0.0
202606230934,138.53,138.53,138.53,138.52,1.0
202606230935,138.53,138.53,138.53,138.53,0.0
202606230936,138.53,138.53,138.53,138.53,0.0
202606230937,138.53,138.53,138.53,138.53,0.0
202606230938,138.53,138.53,138.53,138.53,0.0
202606230939,138.53,138.53,138.53,138.53,0.0
202606230940,138.53,138.53,138.53,138.53,0.0
202606230941,138.53,138.53,138.53,138.53,0.0
202606230942,138.53,138.53,138.53,138.53,0.0
202606230943,138.53,138.53,138.53,138.53,0.0
202606230944,138.53,138.53,138.53,138.53,0.0
202606230945,138.53,138.53,138.53,138.53,0.0
202606230946,138.53,138.53,138.53,138.53,0.0
202606230947,138.7,138.7,138.7,138.7,1.0
202606230948,138.7,138.7,138.7,138.7,0.0
202606230949,138.7,138.7,138.7,138.7,0.0
202606230950,138.7,138.7,138.7,138.7,0.0
202606230951,138.7,138.7,138.7,138.7,0.0
202606230952,138.7,138.7,138.7,138.7,0.0
202606230953,138.7,138.7,138.7,138.7,0.0
202606230954,138.7,138.7,138.7,138.7,0.0
