name,type,price,ma200,ma500,vs_ma200,signal,bars
GOOGL,Stock,359.68,307.944,228.066,16.8,🟢 STRONG BUY,752
HSBA,Stock,1374.4,1185.012,947.836,15.98,🟢 STRONG BUY,759
VOD,Stock,115.34,101.807,84.776,13.29,🟢 STRONG BUY,759
AAPL,Stock,291.13,266.87,239.914,9.09,🟢 STRONG BUY,752
SHEL,Stock,3211.0,2947.753,2746.215,8.93,🟢 STRONG BUY,759
NVDA,Stock,205.19,189.26,155.686,8.42,🟢 STRONG BUY,752
AUD/USD,FX,0.70742,0.68431,0.66258,3.38,🟢 STRONG BUY,775
GBP/JPY,FX,215.0615,208.99212,200.05836,2.9,🟢 STRONG BUY,775
USD/JPY,FX,159.916,155.74962,151.69514,2.68,🟢 STRONG BUY,775
AMZN,Stock,238.55,232.509,214.902,2.6,🟢 STRONG BUY,752
EUR/JPY,FX,185.5945,181.8481,171.08878,2.06,🟢 STRONG BUY,775
GBP/CAD,FX,1.87762,1.85418,1.83026,1.26,🟢 STRONG BUY,775
USD/CAD,FX,1.3963,1.38194,1.38822,1.04,🟢 BUY,775
GBP/CHF,FX,1.06772,1.06082,1.09294,0.65,🟡 NEUTRAL,775
GBP/HKD,FX,10.53632,10.47325,10.28877,0.6,🟢 STRONG BUY,775
USD/CHF,FX,0.79398,0.79069,0.82985,0.42,🟡 NEUTRAL,775
USD/HKD,FX,7.83503,7.80477,7.79982,0.39,🟢 STRONG BUY,775
NZD/USD,FX,0.58536,0.58361,0.58823,0.3,🟡 NEUTRAL,775
GBP/USD,FX,1.34475,1.34186,1.3189,0.22,🟢 STRONG BUY,775
GBP/NZD,FX,2.29744,2.29965,2.24303,-0.1,🟡 NEUTRAL,775
EUR/CHF,FX,0.92146,0.92313,0.9337,-0.18,🔴 STRONG SELL,775
EUR/USD,FX,1.16057,1.16765,1.12773,-0.61,🟡 NEUTRAL,775
TSLA,Stock,406.43,415.694,343.462,-2.23,🟡 NEUTRAL,752
GBP/AUD,FX,1.9013,1.96333,1.99265,-3.16,🔴 STRONG SELL,775
EUR/AUD,FX,1.64084,1.70862,1.70316,-3.97,🔴 SELL,775
META,Stock,566.98,658.085,627.413,-13.84,🔴 SELL,752
MSFT,Stock,390.74,453.731,443.387,-13.88,🔴 SELL,752
