symbol,source,bars,date_from,date_to,open_month,close_latest,high_month,low_month,month_change_pct,avg_daily_volume,latest_volume
OTLK,TOP_PERC_GAIN,21,2026-05-18,2026-06-16,0.23,1.57,1.57,0.215,582.61,29343020,34432631.0
PCLA,TOP_PERC_GAIN,21,2026-05-18,2026-06-16,1.35,5.85,14.1,1.35,333.33,1520657,71350.0
CCTG,HOT_BY_VOLUME,21,2026-05-18,2026-06-16,0.4669,1.48,5.6401,0.37,216.98,6164559,100505632.0
RGNT,TOP_PERC_LOSE,21,2026-05-18,2026-06-16,2.0362,6.1,15.5,1.2316,199.58,11252895,4435376.0
GLXG,TOP_PERC_GAIN,21,2026-05-18,2026-06-16,0.7703,2.24,4.79,0.72,190.8,5027042,1103299.0
NBRGR,TOP_PERC_GAIN,21,2026-05-18,2026-06-16,0.1527,0.422,0.422,0.1498,176.36,30767,0.0
LASE,TOP_PERC_GAIN,21,2026-05-18,2026-06-16,0.8836,2.38,4.49,0.815,169.35,28352679,18095787.0
CUPR,TOP_PERC_LOSE,21,2026-05-18,2026-06-16,2.1416,5.27,14.8,1.86,146.08,3937043,494828.0
SDOT,TOP_PERC_LOSE,21,2026-05-18,2026-06-16,3.792,8.67,39.86,2.63,128.64,2231000,86034.0
AHMA,TOP_PERC_GAIN,21,2026-05-18,2026-06-16,1.21,2.69,5.4,1.02,122.31,4834345,17661435.0
OBAI,HOT_BY_VOLUME,21,2026-05-18,2026-06-16,0.5399,1.11,1.3,0.4315,105.59,15708998,321199215.0
SPCL,HOT_BY_VOLUME,21,2026-05-18,2026-06-16,34.55,68.97,83.85,26.09,99.62,171291,1507809.0
MRVU,TOP_PERC_LOSE,21,2026-05-18,2026-06-16,106.56,207.15,308.77,85.17,94.4,273564,239792.0
MVLL,TOP_PERC_LOSE,21,2026-05-18,2026-06-16,81.0,155.79,230.96,65.35,92.33,1901429,1766031.0
ARM,MOST_ACTIVE_USD,21,2026-05-18,2026-06-16,209.81,396.34,428.6,203.0,88.9,8075545,7307298.0
WDCX,HIGH_VS_52W_HL,21,2026-05-18,2026-06-16,27.5,50.8,57.84,22.11,84.73,672206,3451291.0
LPRO,HOT_BY_VOLUME,21,2026-05-18,2026-06-16,1.85,3.11,3.13,1.665,68.11,2330329,25643323.0
VNCE,TOP_PERC_GAIN,21,2026-05-18,2026-06-16,4.162,6.95,7.1999,3.98,66.99,189588,1512877.0
AIBZ,TOP_PERC_GAIN,20,2026-05-18,2026-06-16,4.605,7.6,10.25,4.3,65.04,178819,757376.0
MUU,MOST_ACTIVE_USD,21,2026-05-18,2026-06-16,538.56,886.92,1081.71,404.89,64.68,1555729,1291558.0
IVDA,HOT_BY_VOLUME,21,2026-05-18,2026-06-16,0.318,0.515,0.7012,0.265,61.95,12884314,261845006.0
HQ,HIGH_VS_52W_HL,21,2026-05-18,2026-06-16,11.61,18.7,19.71,9.75,61.07,497867,1188292.0
RTB,TOP_PERC_GAIN,21,2026-05-18,2026-06-16,5.87,9.37,10.71,3.25,59.63,66137,574066.0
STXX,HIGH_VS_52W_HL,21,2026-05-18,2026-06-16,44.55,70.95,79.9,33.67,59.26,54382,90921.0
WYFL,TOP_PERC_GAIN,9,2026-06-04,2026-06-16,18.14,28.61,31.16,12.08,57.72,22773,85510.0
STXL,HIGH_VS_52W_HL,21,2026-05-18,2026-06-16,36.62,57.64,64.7,27.45,57.4,114092,319948.0
RRGB,TOP_PERC_GAIN,21,2026-05-18,2026-06-16,3.87,6.05,6.1,3.57,56.33,440028,911400.0
SLBT,TOP_PERC_GAIN,3,2026-06-12,2026-06-16,5.69,8.89,14.5,3.0,56.24,5141895,15220777.0
STXU,HIGH_VS_52W_HL,21,2026-05-18,2026-06-16,13.88,21.64,24.33,10.4,55.91,31541,133611.0
MRVL,TOP_VOLUME_RATE,21,2026-05-18,2026-06-16,182.05,278.67,324.1,162.85,53.07,33193241,30471959.0
SNOW,fallback,21,2026-05-18,2026-06-16,156.7,238.32,284.99,155.19,52.09,6278213,2446959.0
SCLX,TOP_PERC_LOSE,21,2026-05-18,2026-06-16,3.97,5.88,6.7,3.46,48.11,132294,161999.0
WBX,TOP_PERC_GAIN,21,2026-05-18,2026-06-16,2.72,3.95,4.0,2.55,45.22,82305,400285.0
HPE,TOP_VOLUME_RATE,21,2026-05-18,2026-06-16,33.58,48.38,64.25,31.88,44.07,25797602,15045650.0
WYFI,TOP_PERC_GAIN,21,2026-05-18,2026-06-16,25.29,35.65,37.51,21.78,40.96,1041399,3721649.0
WDC,MOST_ACTIVE_USD,21,2026-05-18,2026-06-16,485.11,681.08,729.92,434.0,40.4,4171866,8954513.0
OKTA,fallback,21,2026-05-18,2026-06-16,83.49,116.27,142.35,83.09,39.26,2822404,1664751.0
SNDK,MOST_ACTIVE_USD,21,2026-05-18,2026-06-16,1432.24,1991.55,2167.33,1277.33,39.05,6915764,5054765.0
AMKL,HIGH_VS_52W_HL,21,2026-05-18,2026-06-16,19.45,26.86,33.0,15.0,38.1,155846,1022416.0
NXTS,HOT_BY_VOLUME,21,2026-05-18,2026-06-16,4.27,5.82,6.75,4.02,36.3,40391,300488.0
MU,MOST_ACTIVE_USD,21,2026-05-18,2026-06-16,750.77,1020.76,1110.4,652.21,35.96,36861542,27418616.0
